s_name,depth_m,C_26Al_ag,C_26Al_unc_ag,C_10Be_ag,C_10Be_unc_ag,26Al/10Be,26Al/10Be_unc,depth_amalg
BMS03A,3,3138318.182,151052.7762,493048.5464,9181.623829,6.365130178,0.424897322,0.2
BMS03B,3.8,2941320.742,142276.4455,572117.0186,13761.54221,5.14111737,0.372347164,0.2
BMS04,5,1479390.525,73824.90829,306789.7406,6197.397723,4.822164268,0.338048391,0.1
BMS05,6.3,1676602.228,69183.39869,375316.2719,7006.750541,4.4671717,0.267730882,0.1
BMS6T,7.9,650007.7036,30524.9963,133158.3263,6188.410179,4.881464957,0.456099933,0
BMS06,8,576218.1505,33405.19896,100065.6946,4008.447868,5.758398546,0.564503545,0.2
BMS6B,8.1,347985.5351,24901.09671,55417.44591,4230.881227,6.27934993,0.928737866,0
BMS08,10.8,204985.4802,26038.54254,38898.28687,2092.528029,5.269781697,0.95288794,0.3
BMS09,13.3,154603.6504,23025.7639,37286.62147,4451.84674,4.146357174,1.112589689,0.1
BMS10,14,153173.2301,24767.28564,30128.60393,2053.771535,5.083980343,1.16861106,0.1
BMS11N,15.3,163731.0484,20359.49837,34805.45392,3388.397437,4.704177936,1.042914795,0
BMS12,17.8,170057.0089,20885.98853,39777.41109,2762.925416,4.275215613,0.822026611,0.3
